Year,CO2_Emissions_Per_Capita,Forest_Area_Pct,Renewable_Energy_Pct,Clean_Fuel_Access_Pct
2000,0.052765482396815,18.5285,95.5,0.4
2001,0.0633392107231774,18.4555,94.6,0.4
2002,0.0638161095424215,18.3825,94.5,0.4
2003,0.0680240938891775,18.3095,94.2,0.4
2004,0.0701156138673126,16.158553631131316,94.1,0.4
2005,0.0644336227774101,16.093835919517264,94.7,0.4
2006,0.0669710814241119,16.028963687470608,94.5,0.3
2007,0.0717601582138511,15.964027930470111,94.1,0.4
2008,0.0758407974743379,15.90023395128146,94.1,0.4
2009,0.0742492390092151,15.83526539254428,94.2,0.3
2010,0.0714966450631165,15.770828773732443,94.1,0.3
2011,0.081068195727814,15.70608814601704,93.6,0.3
2012,0.0893435298598363,15.641307796747794,93.3,0.3
2013,0.103524271655986,15.576762884710687,92.4,0.3
2014,0.123524943379168,15.5125439694869,91.4,0.4
2015,0.125605659576535,15.447843469177949,91.5,0.3
2016,0.142873525126866,15.382897740790574,90.4,0.4
2017,0.144824561298725,15.31829082343334,90.8,0.4
2018,0.151143018411038,15.253489974050147,90.0,0.4
2019,0.15300155870986,15.188677999760584,89.3,0.5
2020,0.152189324326744,15.12398772465792,90.7,0.5
